ROUND,GLOBAL HR,AVERAGE HR(LOCAL)
1,0.16557377049180327,0.09784197796291333
2,0.3,0.22600913732867509
3,0.4163934426229508,0.35135716205321144
4,0.4704918032786885,0.45340499865627476
5,0.5147540983606558,0.5031389411448531
6,0.5262295081967213,0.5282289707067999
7,0.5508196721311476,0.5402633700618115
8,0.5540983606557377,0.5539989250201566
9,0.5688524590163935,0.5626552002149959
10,0.5672131147540984,0.5704353668368708
11,0.5721311475409836,0.5714700349368437
12,0.5704918032786885,0.5733297500671859
13,0.5704918032786885,0.5739344262295085
14,0.5688524590163935,0.574127922601452
15,0.5721311475409836,0.5760790110185446
16,0.5704918032786885,0.5749986562751948
17,0.5721311475409836,0.5758667024993275
18,0.5672131147540984,0.5754877721042726
19,0.5754098360655737,0.5771513034130616
20,0.5770491803278689,0.577186240257996
21,0.578688524590164,0.5777909164203182
22,0.5704918032786885,0.5782612201021224
23,0.5836065573770491,0.5791722655200215
24,0.5704918032786885,0.578368718086536
25,0.578688524590164,0.5767481859715121
26,0.5672131147540984,0.5772158022037082
27,0.5852459016393443,0.5767024993281379
28,0.5704918032786885,0.5771889277076064
29,0.5655737704918032,0.5746197258801393
30,0.5622950819672131,0.5753560870733683
31,0.5737704918032787,0.5733163128191344
32,0.559016393442623,0.5736656812684758
33,0.5721311475409836,0.5730663800053757
34,0.5672131147540984,0.5752055898951894
35,0.5704918032786885,0.5721714592851378
36,0.5639344262295082,0.5714404729911314
37,0.5770491803278689,0.5729669443697936
38,0.5688524590163935,0.5714539102391835
39,0.5672131147540984,0.5711502284332177
40,0.5639344262295082,0.5695780704111794
41,0.5770491803278689,0.5681241601719967
42,0.5672131147540984,0.5674899220639616
43,0.5688524590163935,0.5639747379736628
44,0.5655737704918032,0.564617038430529
45,0.5704918032786885,0.5635635581832843
46,0.5655737704918032,0.5646116635313082
47,0.5704918032786885,0.5615103466809994
48,0.5655737704918032,0.5629938188658962
49,0.5770491803278689,0.5616474066111259
50,0.5639344262295082,0.5620155872077401
51,0.5704918032786885,0.5604031174415479
52,0.5639344262295082,0.5623488309594192
53,0.5688524590163935,0.5612335393711371
54,0.5639344262295082,0.5611851652781513
55,0.5688524590163935,0.5618677774791723
56,0.5655737704918032,0.5605455522708946
57,0.5754098360655737,0.5613087879602252
58,0.5655737704918032,0.562674012362268
59,0.5639344262295082,0.5601397473797362
60,0.5672131147540984,0.5622682074711103
61,0.5672131147540984,0.562566514377856
62,0.5688524590163935,0.5630905670518673
63,0.578688524590164,0.5629696318194027
64,0.5639344262295082,0.5649287825853259
65,0.5688524590163935,0.5637866165009404
66,0.5688524590163935,0.5648454716474062
67,0.5540983606557377,0.563410373555496
68,0.5770491803278689,0.5653426498253156
69,0.5655737704918032,0.5659553883364686
70,0.559016393442623,0.5665573770491801
71,0.559016393442623,0.5659500134372487
72,0.559016393442623,0.5678769148078474
73,0.5573770491803278,0.5674361730717545
74,0.5672131147540984,0.5695431335662454
75,0.5573770491803278,0.5685192152647137
76,0.5639344262295082,0.5711152915882824
77,0.5573770491803278,0.5703601182477827
78,0.5672131147540984,0.5717360924482668
79,0.5491803278688525,0.5699543133566242
80,0.5770491803278689,0.5707202364955654
81,0.5491803278688525,0.5702284332168774
82,0.5737704918032787,0.5733485622144584
83,0.5557377049180328,0.5726256382692829
84,0.5819672131147541,0.5758613276001077
85,0.5393442622950819,0.5727411986025259
86,0.578688524590164,0.5751169040580474
87,0.5393442622950819,0.5730851921526463
88,0.580327868852459,0.576506315506584
89,0.5360655737704918,0.5735017468422462
90,0.5754098360655737,0.5767132491265783
91,0.5377049180327869,0.5755683955925825
92,0.5704918032786885,0.5776780435366835
93,0.5344262295081967,0.575769954313356
94,0.5672131147540984,0.5764230045686644
95,0.5393442622950819,0.5764579414135986
96,0.559016393442623,0.5778607901101854
97,0.5393442622950819,0.5760037624294544
98,0.5737704918032787,0.5787557108304214
99,0.5295081967213114,0.5777317925288894
100,0.5606557377049181,0.5809889814565978
101,0.5098360655737705,0.5782316581564086
102,0.5622950819672131,0.5808707336737431
103,0.5344262295081967,0.5794195108841698
104,0.5573770491803278,0.580360118247782
105,0.5065573770491804,0.5799220639613002
106,0.5639344262295082,0.5819645256651436
107,0.5114754098360655,0.5813544746036009
108,0.5672131147540984,0.5811529158828272
109,0.5245901639344263,0.5798387530233806
110,0.5606557377049181,0.5812039774254241
111,0.5163934426229508,0.5821633969363069
112,0.5672131147540984,0.5829750067186239
113,0.5049180327868853,0.5804299919376511
114,0.559016393442623,0.5829535071217415
115,0.519672131147541,0.5806745498521904
116,0.5622950819672131,0.5846304756785805
117,0.5262295081967213,0.5830610051061537
118,0.5606557377049181,0.5837785541521098
119,0.5131147540983606,0.5821445847890347
120,0.5573770491803278,0.5853668368718085
121,0.5229508196721312,0.5836119322762697
122,0.5622950819672131,0.5843536683687178
123,0.5245901639344263,0.5825530771298025
124,0.5573770491803278,0.584893845740392
125,0.5278688524590164,0.5838833646869117
126,0.5557377049180328,0.586879871002419
127,0.5,0.5855845202902443
128,0.5409836065573771,0.5859768879333512
129,0.5114754098360655,0.5857188927707594
130,0.5606557377049181,0.5876242945444776
131,0.5114754098360655,0.5858425154528353
132,0.5442622950819672,0.5870679924751407
133,0.5131147540983606,0.5877909164203169
134,0.5459016393442623,0.5894947594732589
135,0.4934426229508197,0.5853668368718086
136,0.5524590163934426,0.5877452297769409
137,0.4934426229508197,0.5866460628863203
138,0.5540983606557377,0.5887019618382151
139,0.5081967213114754,0.5876807309862934
140,0.5524590163934426,0.5905536146197257
141,0.5098360655737705,0.5881053480247245
142,0.5524590163934426,0.590561676968557
