GLOBAL ROUND,LOSS
1,0.5163553864295429
2,0.46030505225124113
3,0.40382113539913156
4,0.3630868756180784
5,0.3403215105956203
6,0.32605073909878285
7,0.31813120264584677
8,0.3154421785451061
9,0.3091931943144722
10,0.3082986786643917
11,0.3078725714021001
12,0.3033198637628393
13,0.30623044507806163
14,0.30651463109520655
15,0.3034074999380635
16,0.3044735682584841
17,0.3050224449018977
18,0.30231921702479225
19,0.3035484401805233
20,0.3023227027033066
21,0.3043670218261242
22,0.302664912001889
23,0.3022787258520697
24,0.3045056390011994
25,0.3028218055304842
26,0.3018539697621215
27,0.3040699905579728
28,0.30161609445260423
29,0.30208107091031267
30,0.3037508309799468
31,0.3040433892127923
32,0.3022120099654414
33,0.3044349387714584
34,0.30042523525208675
35,0.3017872904224766
36,0.3003272427511311
37,0.3012656461745397
38,0.3004440444696311
39,0.3003731597665998
40,0.29887423543370906
41,0.2973613376119924
42,0.29649424685441567
43,0.29568989574393645
44,0.29593161427214937
45,0.2934951404103122
46,0.29260895229492534
47,0.29330585890766425
48,0.293933134545648
49,0.28989382275125175
50,0.29000661907468506
51,0.2902319878236549
52,0.2907779519235856
53,0.29092357330163854
54,0.2866540874278112
55,0.28696062770610214
56,0.2868916924557847
57,0.2844297107237181
58,0.2823310529430546
59,0.2844195341158488
60,0.2839940631117031
61,0.2812524843616808
62,0.27796652954809997
63,0.2802722502547498
64,0.2810532460266175
65,0.27749106983048105
66,0.27819217902086696
67,0.2797051082221181
68,0.2757003259679524
69,0.2769621334367483
70,0.2787251698646249
71,0.27627333156702877
72,0.27458595217228066
73,0.27642650125403534
74,0.2737481647113344
75,0.27552466191272035
76,0.27324664783704483
77,0.2754200628002289
78,0.2719867069323846
79,0.2737083063427446
80,0.27236046040656586
81,0.27001457250674116
82,0.2714914935228062
83,0.2683185137778327
84,0.2663941095786713
85,0.26935697177875173
86,0.2651437262674759
87,0.26798956878791813
88,0.26676421874056694
89,0.2657275531353536
90,0.2663548475050277
91,0.26600460040952734
92,0.26381054239614726
93,0.26688207176322887
94,0.2635540308631993
95,0.2650638392378592
96,0.2632289822313437
97,0.26605417616547533
98,0.26401681050991993
99,0.2642955943150627
100,0.2576340260486935
101,0.26061404644882813
102,0.2592259546415962
103,0.2621843173781936
104,0.2576700978146311
105,0.2585876342353399
106,0.25665850931255574
107,0.2581760332701612
108,0.2587067220025941
109,0.26255767401995095
110,0.2543322412111411
111,0.2568697876789034
112,0.25400992141379364
113,0.25967737903800586
114,0.256260795979941
115,0.25845765878710114
116,0.25310528453416536
117,0.25258977701491686
118,0.25597565867575833
119,0.2521156375302495
120,0.2533732574625762
121,0.2528414887624716
122,0.24943742510710434
123,0.25349947131842043
124,0.25082061427320523
125,0.25194604141125065
126,0.2473360281890588
127,0.2527318343700536
128,0.24835771256838612
129,0.24959630272619254
130,0.24706485521229324
131,0.24839492061946591
132,0.24844676168789617
133,0.24562682525273416
134,0.24296312188322697
135,0.2482295521895773
136,0.2416149458591529
137,0.24764438376551234
138,0.24539835511870753
139,0.24464805954163582
140,0.24262531997218317
141,0.24310145131348243
142,0.24046779341511185
